AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ChargeSubcategory,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountType,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,Region,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,UsageQuantity,UsageUnit,x_AccountName,x_AccountOwnerId,x_BilledCostInUsd,x_BilledUnitPrice,x_BillingAccountId,x_BillingAccountName,x_BillingExchangeRate,x_BillingExchangeRateDate,x_BillingProfileId,x_BillingProfileName,x_ChargeId,x_CostAllocationRuleName,x_CostCenter,x_CustomerId,x_CustomerName,x_EffectiveCostInUsd,x_EffectiveUnitPrice,x_InvoiceId,x_InvoiceIssuerId,x_InvoiceSectionId,x_InvoiceSectionName,x_OnDemandCost,x_OnDemandCostInUsd,x_OnDemandUnitPrice,x_PartnerCreditApplied,x_PartnerCreditRate,x_PricingBlockSize,x_PricingCurrency,x_PricingSubcategory,x_PricingUnitDescription,x_PublisherCategory,x_PublisherId,x_ResellerId,x_ResellerName,x_ResourceGroupName,x_ResourceType,x_ServicePeriodEnd,x_ServicePeriodStart,x_SkuDescription,x_SkuDetails,x_SkuIsCreditEligible,x_SkuMeterCategory,x_SkuMeterId,x_SkuMeterName,x_SkuMeterSubcategory,x_SkuOfferId,x_SkuOrderId,x_SkuOrderName,x_SkuPartNumber,x_SkuRegion,x_SkuServiceFamily,x_SkuTerm,x_SkuTier
,0.483870967741936,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Microsoft Defender for SQL - Standard Node,Usage-Based,2024-06-08T00:00Z,2024-06-07T00:00Z,On-Demand,,,,,0.483870967741936,Microsoft,0.483870967741935,15,On-Demand,0.032258064516129,Units/Month,Microsoft,Microsoft,Central US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/example-dtl-DTLWeb-161069/providers/Microsoft.Sql/servers/a7q-a7q5gy-db,a7q-a7q5gy-db,SQL server,Databases,Azure SQL Database,1494710,1494710,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""costanalysis-parent"": ""http://subscriptions/7a791768-9f91-55d1-934e-052943426047/resourcegroups/devtestlab/providers/microsoft.devtestlab/labs/example-dtl/environments/example-dtl-DTLWeb-128359"",""CostCenter"": ""1234"","" org"": ""trey"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""hidden-DevTestLabs-LabUId"": ""075ac868-86d0-5c1c-b497-61f69b5f923c""}",0.032258064516129,Units/Month,ACM Team,user-dddba4ef10@example.invalid,,15,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,15,,,113561,ACM,0.483870967741935,,15,,,1,USD,Standard,1/Month,Cloud Provider,Microsoft,,,example-dtl-DTLWeb-128359,Microsoft.Sql/servers,,,Microsoft Defender for SQL - Standard Node,"{""ServiceType"":""SQLThreatDetection"",""ResourceCategory"":""SQLThreatDetection""}",True,Microsoft Defender for Cloud,0226ff74-b49f-54ea-8a80-e72efed860ed,Standard Node,SQL Database,MS-AZR-0148P,,,AAA-54514,,,,
,0.025,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Load Balancer - Standard Included LB Rules and Outbound Rules,Usage-Based,2024-06-08T00:00Z,2024-06-07T00:00Z,On-Demand,,,,,0.025,Microsoft,0.025,0.025,On-Demand,1,Hours,Microsoft,Microsoft,East US 2,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/devtestlab/providers/Microsoft.MachineLearningServices/workspaces/zmltestplayground,zmltestplayground,Azure Machine Learning workspace,AI and Machine Learning,Azure Machine Learning,1347980,1347980,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""ComputeType"": ""Compute Instance"","" org"": ""trey"",""CostAllocationTest"": ""Sameer""}",1,Hours,ACM Team,user-dddba4ef10@example.invalid,,0.025,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.025,,,113561,ACM,0.025,,0.025,,,1,USD,Standard,1 Hour,Cloud Provider,Microsoft,,,devtestlab,Microsoft.MachineLearningServices/workspaces,,,Load Balancer - Standard Included LB Rules and Outbound Rules,"{""AccountName"":""bai52238044515004711258a"",""PoolName"":""sentinel_0c4216ff-a799-4681-96e4-1a64ad037202"",""ConfigType"":""VirtualMachine"",""NodeType"":""Dedicated"",""PoolAllocationMode"":""BatchService"",""UsageType"":""loadbalancers"",""ClusterType"":""DSI"",""AmlWorkspaceId"":""83fbd782-a30d-5c81-812c-f500651c8456"",""AMLResourceType"":""Provisioner.Batch"",""SourceEventId"":""08014c7b-3b81-5b44-b617-2a20572ca816"",""SourceResourceProvider"":""Batch"",""HostSubscriptionId"":""14bc7948-da10-5282-a239-02ae153f75a6"",""EmittingService"":""Machine Learning Service - Non DSVM"",""Processor_Version"":""BillingProcessorV2""}",True,Load Balancer,3a30614e-5a0e-5fe3-b270-6251f439020d,Standard Included LB Rules and Outbound Rules,Standard,MS-AZR-0148P,,,AAA-21856,,,,
,0.000016,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Microsoft Defender for Storage - Standard Transactions,Usage-Based,2024-06-08T00:00Z,2024-06-07T00:00Z,On-Demand,,,,,0.000016,Microsoft,0.000016,0.02,On-Demand,0.00000008,Units,Microsoft,Microsoft,East US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/ftk-integration-tests/providers/Microsoft.Storage/storageAccounts/d7939f0fb6fa4070bca89a6e,d7939f0fb6fa4070bca89a6e,Storage account,Storage,Storage Accounts,303250119,303250119,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""Project"": ""Foo"",""CostCenter"": ""1234"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",0.00080000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.02,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.02,,,113561,ACM,0.0000000016,,0.02,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"":""Azure"",""StorageService"":""Blob""}",True,Microsoft Defender for Cloud,6545fff8-e12b-5858-87df-f23c42b38ea6,Standard Transactions,Storage,MS-AZR-0148P,,,AAA-97331,,,,
,0.000012,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Microsoft Defender for Storage - Standard Transactions,Usage-Based,2024-06-07T00:00Z,2024-06-06T00:00Z,On-Demand,,,,,0.000012,Microsoft,0.000012,0.02,On-Demand,0.00000006,Units,Microsoft,Microsoft,Central US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/mtdben/providers/Microsoft.Storage/storageAccounts/mtdben,mtdben,Storage account,Storage,Storage Accounts,303250119,303250119,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""org"": ""trey"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",0.00060000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.02,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.02,,,113561,ACM,0.0000000012,,0.02,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,mtdben,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"":""Azure"",""StorageService"":""Files""}",True,Microsoft Defender for Cloud,6545fff8-e12b-5858-87df-f23c42b38ea6,Standard Transactions,Storage,MS-AZR-0148P,,,AAA-97331,,,,
,-0.000044,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tiered Block Blob - LRS - List and Create Container Operations - US West,Usage-Based,2024-06-07T00:00Z,2024-06-06T00:00Z,On-Demand,,,,,-0.000044,Microsoft,-0.0000440,0.055,On-Demand,-0.00000008,Units,Microsoft,Microsoft,West US,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110/resourceGroups/cloud-shell-storage-westus/providers/Microsoft.Storage/storageAccounts/cs410033fff80d3c535,cs410033fff80d3c535,Storage account,Storage,Storage Accounts,3182009,3182009,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110,Trey Research Corporate,Subscription,"{""CostCenter"": ""1234"",""Cost department"": ""Marketing"",""ms-resource-usage"": ""azure-cloud-shell"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",-0.00080000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.055,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,PartnerCommunityDemo,ACM9000,,,,0.055,,,113561,ACM,-0.00000000440,,0.055,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,cloud-shell-storage-westus,Microsoft.Storage/storageAccounts,,,Tiered Block Blob - LRS - List and Create Container Operations - US West,,True,Storage,6e094874-d1e3-5888-a799-1995a4c23a84,LRS List and Create Container Operations,Tiered Block Blob,MS-AZR-0017P,,,AAD-37045,US West,,,
,-0.000004,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tiered Block Blob - All Other Operations - US East,Usage-Based,2024-06-04T00:00Z,2024-06-03T00:00Z,On-Demand,,,,,-0.000004,Microsoft,-0.000004,0.004,On-Demand,-0.0000001,Units,Microsoft,Microsoft,East US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/ftk-integration-tests/providers/Microsoft.Storage/storageAccounts/737c2bbd3c3e44f99682690d,737c2bbd3c3e44f99682690d,Storage account,Storage,Storage Accounts,9007992,9007992,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",-0.0010000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.004,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.004,,,113561,ACM,-0.0000000004,,0.004,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tiered Block Blob - All Other Operations - US East,,True,Storage,2c2b91da-831a-5261-9634-b8081bc7a5ce,All Other Operations,Tiered Block Blob,MS-AZR-0148P,,,AAA-70098,US East,,,
,0.000005256,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tables - Batch Write Operations,Usage-Based,2024-06-04T00:00Z,2024-06-03T00:00Z,On-Demand,,,,,0.000005256,Microsoft,0.000005256,0.00036,On-Demand,0.00000146,Units,Microsoft,Microsoft,East US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/ftk-integration-tests/providers/Microsoft.Storage/storageAccounts/6c049102cd944511a804e5a5,6c049102cd944511a804e5a5,Storage account,Storage,Storage Accounts,1532608,1532608,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",0.01460000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.00036,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,,ACM9000,,,,0.00036,,,113561,ACM,0.0000000005256,,0.00036,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tables - Batch Write Operations,,True,Storage,ea86ecd8-111a-5a44-9ed1-1bc5d8fe41dd,Batch Write Operations,Tables,MS-AZR-0148P,,,N9H-00758,,,,
,0.000005256,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tables - Batch Write Operations,Usage-Based,2024-06-02T00:00Z,2024-06-01T00:00Z,On-Demand,,,,,0.000005256,Microsoft,0.000005256,0.00036,On-Demand,0.00000146,Units,Microsoft,Microsoft,Central US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/mtdben/providers/Microsoft.Storage/storageAccounts/mtdben,mtdben,Storage account,Storage,Storage Accounts,1532608,1532608,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""org"": ""trey"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",0.01460000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.00036,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.00036,,,113561,ACM,0.0000000005256,,0.00036,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,mtdben,Microsoft.Storage/storageAccounts,,,Tables - Batch Write Operations,,True,Storage,ea86ecd8-111a-5a44-9ed1-1bc5d8fe41dd,Batch Write Operations,Tables,MS-AZR-0148P,,,N9H-00758,,,,
,-0.000024,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Microsoft Defender for Storage - Standard Transactions,Usage-Based,2024-06-02T00:00Z,2024-06-01T00:00Z,On-Demand,,,,,-0.000024,Microsoft,-0.000024,0.02,On-Demand,-0.00000012,Units,Microsoft,Microsoft,East US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/ftk-integration-tests/providers/Microsoft.Storage/storageAccounts/7bc4d7c0bec94d8895b9ff83,7bc4d7c0bec94d8895b9ff83,Storage account,Storage,Storage Accounts,303250119,303250119,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",-0.00120000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.02,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.02,,,113561,ACM,-0.0000000024,,0.02,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"":""Azure"",""StorageService"":""Blob""}",True,Microsoft Defender for Cloud,6545fff8-e12b-5858-87df-f23c42b38ea6,Standard Transactions,Storage,MS-AZR-0148P,,,AAA-97331,,,,
,0.3216,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Microsoft Defender for Storage - Standard Node,Usage-Based,2024-06-02T00:00Z,2024-06-01T00:00Z,On-Demand,,,,,0.3216,Microsoft,0.3216,0.0134,On-Demand,24,Units/Hour,Microsoft,Microsoft,East US,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110/resourceGroups/AnalyticsEngine/providers/Microsoft.Storage/storageAccounts/sqlvazrcgtstlsqjag,sqlvazrcgtstlsqjag,Storage account,Storage,Storage Accounts,921146785,921146785,/subscriptions/f45d828e-047b-5cfe-b619-9edc433ddb92,Trey Research IT,Subscription,"{""CostCenter"": ""1234"",""ms:Department"": ""test"",""Cost department"": ""Marketing"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",24,Units/Hour,ACM Team,user-dddba4ef10@example.invalid,,0.0134,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,PartnerCommunityDemo,ACM9000,,,,0.0134,,,113561,ACM,0.3216,,0.0134,,,1,USD,Standard,1/Hour,Cloud Provider,Microsoft,,,AnalyticsEngine,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Node,"{""Cloud"":""Azure""}",True,Microsoft Defender for Cloud,42091cd5-f1d1-52c6-9d89-5f92c8190f0e,Standard Node,Storage,MS-AZR-0017P,,,AAM-85821,,,,
,0.000005256,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tables - Batch Write Operations,Usage-Based,2024-06-15T00:00Z,2024-06-14T00:00Z,On-Demand,,,,,0.000005256,Microsoft,0.000005256,0.00036,On-Demand,0.00000146,Units,Microsoft,Microsoft,UK West,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/AdamHourlyExportTest/providers/Microsoft.Storage/storageAccounts/adamhourlyexporttestdiag,adamhourlyexporttestdiag,Storage account,Storage,Storage Accounts,1532608,1532608,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""Project"": ""Foo"",""CostCenter"": ""1234"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",0.01460000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.00036,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.00036,,,113561,ACM,0.0000000005256,,0.00036,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,AdamHourlyExportTest,Microsoft.Storage/storageAccounts,,,Tables - Batch Write Operations,,True,Storage,ea86ecd8-111a-5a44-9ed1-1bc5d8fe41dd,Batch Write Operations,Tables,MS-AZR-0148P,,,N9H-00758,,,,
,-0.00003,/providers/Microsoft.Billing/billingAccounts/1844103,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,Tiered Block Blob - LRS - List and Create Container Operations - US East,Usage-Based,2024-06-15T00:00Z,2024-06-14T00:00Z,On-Demand,,,,,-0.00003,Microsoft,-0.000030,0.05,On-Demand,-0.00000006,Units,Microsoft,Microsoft,East US,/subscriptions/7a791768-9f91-55d1-934e-183293918895/resourceGroups/ftk-integration-tests/providers/Microsoft.Storage/storageAccounts/eeacb023a55c49218279f154,eeacb023a55c49218279f154,Storage account,Storage,Storage Accounts,6679783,6679783,/subscriptions/7a791768-9f91-55d1-934e-183293918895,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",-0.00060000,Units,ACM Team,user-dddba4ef10@example.invalid,,0.05,1844103,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,1844103,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.05,,,113561,ACM,-0.0000000030,,0.05,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tiered Block Blob - LRS - List and Create Container Operations - US East,,True,Storage,c356d95d-4a2b-51ee-951c-6606d883db4f,LRS List and Create Container Operations,Tiered Block Blob,MS-AZR-0148P,,,AAD-37040,US East,,,
