EnrollmentNumber,MeterID,MeterName,MeterType,MeterCategory,MeterSubCategory,ServiceFamily,Product,SkuID,ProductID,MeterRegion,UnitOfMeasure,PartNumber,EffectiveStartDate,EffectiveEndDate,UnitPrice,BasePrice,MarketPrice,CurrencyCode,IncludedQuantity,OfferID,Term,PriceType
8611537,8aaa288a-c6f5-5a6e-b6a5-bcda7912c4e9,200 GB Commitment Tier Capacity Reservation,Commitment Tier/Day,Azure Monitor,,Management and Governance,Azure Monitor - 200 GB Commitment Tier Capacity Reservation - NO East,039R,DZH318Z0BQLB,NO East,1 /Day,AAF-33183,06/01/2024 00:00:00,07/01/2024 00:00:00,526.24,526.24,526.24,USD,0,MS-AZR-0017P,,Consumption
8611537,89258185-a692-5ddf-bf0e-40867e2c891e,E96as v5,1 Compute Hour,Virtual Machines,Easv5 Series,Compute,Virtual Machines Easv5 Series - E96as v5 - ZA West,05H1,DZH318Z093WZ,ZA West,10 Hours,AAM-98923,06/01/2024 00:00:00,07/01/2024 00:00:00,64.02,,64.02249,USD,0,MS-AZR-0017P,P1Y,SavingsPlan
8611537,8bff8aeb-abea-547e-848b-b50ab44f2383,E96-24as v5,1 Compute Hour,Virtual Machines,Easv5 Series,Compute,Virtual Machines Easv5 Series - E96-24as v5 - US Central,00MG,DZH318Z093WZ,US Central,10 Hours,AAM-30113,06/01/2024 00:00:00,07/01/2024 00:00:00,31.69,,31.68693,USD,0,MS-AZR-0017P,P3Y,SavingsPlan
8611537,e5aaa337-6b14-51f4-9d80-3a81fb434bc0,E112ias v5 Low Priority,1 Compute Hour,Virtual Machines,Easv5 Series CloudServices,Compute,Easv5 Series CloudServices - E112ias v5 Low Priority - JA East,01NN,DZH318Z092QW,JA East,10 Hours,AAP-19604,06/01/2024 00:00:00,07/01/2024 00:00:00,54.36,54.36,54.36,USD,0,MS-AZR-0017P,,Consumption
8611537,732687b0-06cb-42c3-af54-696a947d426e,Hot RA-GRS Index,Index (GB/Month),Storage,General Block Blob v2 Hierarchical Namespace,Storage,General Block Blob v2 Hierarchical Namespace - Hot RA-GRS - Index - US South Central,003F,DZH318Z0C120,US South Central,1000 GB/Month,AAD-54722,06/01/2024 00:00:00,07/01/2024 00:00:00,66,66,66,USD,0,MS-AZR-0148P,,Consumption
8611537,aa280a11-ed02-582e-b518-cb71ef3d0614,D48d v4 Low Priority,1 Compute Hour,Virtual Machines,Ddv4 Series,Compute,Virtual Machines Ddv4 Series - D48d v4 Low Priority - BR Southeast,01DD,DZH318Z0D1L2,BR Southeast,100 Hours,AAF-46609,06/01/2024 00:00:00,07/01/2024 00:00:00,112.4,112.4,112.4,USD,0,MS-AZR-0017P,,Consumption
8611537,58731d53-5d2a-53f9-b21d-1b7d63174a5b,D4a v4/D4as v4,1 Compute Hour,Virtual Machines,Dav4/Dasv4 Series Windows,Compute,Virtual Machines Dav4/Dasv4 Series Windows - D4a v4/D4as v4 - Dev/Test - JA West,00HD,DZH318Z0CM94,JA West,100 Hours,AAJ-34693,06/01/2024 00:00:00,07/01/2024 00:00:00,24.8,24.8,24.8,USD,0,MS-AZR-0148P,,Consumption
8611537,6bdd3d88-4b29-575c-b821-25c46cbd18da,D4lds v5 Low Priority,1 Compute Hour,Virtual Machines,Dldsv5 Series Linux,Compute,Virtual Machines Dldsv5 Series - D4lds v5 Low Priority - IN West,012X,DZH318Z08M9B,IN West,1000 Hours,AAN-36717,06/01/2024 00:00:00,07/01/2024 00:00:00,49.2,49.2,49.2,USD,0,MS-AZR-0148P,,Consumption
8611537,eb3ff0da-0d0f-517a-bfd3-559dae5c8e3e,M128s,1 Compute Hour,Virtual Machines,MS Series,Compute,Virtual Machines MS Series - M128s - ES Central,08VT,DZH318Z0BQ4W,ES Central,1 Hour,AAP-59289,06/01/2024 00:00:00,07/01/2024 00:00:00,6.53,,6.532633,USD,0,MS-AZR-0148P,P3Y,SavingsPlan
8611537,f3967480-0a3e-5197-a618-03e1677a6b65,D4s v5 Low Priority,1 Compute Hour,Virtual Machines,Dsv5 Series,Compute,Virtual Machines Dsv5 Series - D4s v5 Low Priority - FR Central,00ML,DZH318Z08M9W,FR Central,1000 Hours,AAM-30719,06/01/2024 00:00:00,07/01/2024 00:00:00,44.8,44.8,44.8,USD,0,MS-AZR-0017P,,Consumption
