InstanceFlexibilityGroup,InstanceFlexibilityRatio,InstanceId,Kind,ReservationOrderId,ReservationId,ReservedHours,SkuName,TotalReservedQuantity,UsageDate,UsedHours
NA,0.25,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,6,NA,0.25,2024-06-09T00:00:00Z,1.5
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-07T00:00:00Z,3
NA,0.25,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,6,NA,0.25,2024-06-05T00:00:00Z,2.25
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-08T00:00:00Z,14
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-18T00:00:00Z,15
NA,0.25,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,6,NA,0.25,2024-06-17T00:00:00Z,1.5
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-04T00:00:00Z,3
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-08T00:00:00Z,2
NA,0.25,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,6,NA,0.25,2024-06-08T00:00:00Z,1.5
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-06T00:00:00Z,11
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-09T00:00:00Z,1
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-09T00:00:00Z,17
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,810161b6-0847-54ff-9707-85fe1ca52376,1177f9c4-0c5a-5446-9c42-cc70ce407f49,24,NA,1,2024-06-11T00:00:00Z,2
NA,4,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-16T00:00:00Z,3
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,16,NA,1,2024-06-19T00:00:00Z,2.25
NA,4,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-15T00:00:00Z,2
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-14T00:00:00Z,3.25
NA,4,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-14T00:00:00Z,7
NA,4,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-12T00:00:00Z,3
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-09T00:00:00Z,1
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-04T00:00:00Z,17
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-16T00:00:00Z,2
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-10T00:00:00Z,2.25
NA,4,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-11T00:00:00Z,1
NA,4,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-11T00:00:00Z,1
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-15T00:00:00Z,2
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-08T00:00:00Z,1.25
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-03T00:00:00Z,17
NA,4,/subscriptions/eb0e8306-8441-5385-8f11-d0f7dbbc8110/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,96,NA,4,2024-06-06T00:00:00Z,1
NA,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo,Reservation,c4222e60-6a17-5e7d-b6df-f193893a47eb,de67ed14-ad95-50f7-bbd7-58742b277317,24,NA,1,2024-06-01T00:00:00Z,16
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-15T00:00:00Z,24.533324
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-14T00:00:00Z,25
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-09T00:00:00Z,24.099888
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-13T00:00:00Z,21
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-16T00:00:00Z,48
