SKU,Location,CostWithNoReservedInstances,FirstUsageDate,InstanceFlexibilityRatio,InstanceFlexibilityGroup,LookBackPeriod,MeterId,NetSavings,NormalizedSize,RecommendedQuantity,RecommendedQuantityNormalized,ResourceType,Scope,SkuProperties,Term,TotalCostWithReservedInstances
Standard_B2ms,westus,14.6816,2024-06-13T00:00:00Z,4.0,BS Series High Memory,Last7Days,045f188f-9054-5491-9b46-798578cb33de,6.023951598173516,Standard_B1ms,1,4.0,virtualmachines,Single,[],P1Y,8.657648401826483
Standard_D2s_v3,southcentralus,13.086338100000003,2024-06-13T00:00:00Z,1.0,DSv3 Series,Last7Days,20864b94-1ff2-543b-be4f-dc346903077b,6.36772969406393,Standard_D2s_v3,1,1.0,virtualmachines,Single,[],P3Y,6.718608405936073
Standard_D11_v2,eastus2,22.201,2024-06-13T00:00:00Z,1.0,Dv2 Series High Memory,Last7Days,8789dbae-410e-56a9-9c3a-1a8bc7c7840d,6.450543378995434,Standard_D11_v2,1,1.0,virtualmachines,Single,[],P1Y,15.750456621004567
Standard_B2s,eastus,18.249124053185007,2024-06-13T00:00:00Z,8.0,BS Series,Last7Days,09e544fd-ab20-5f6d-b26d-1b49aa8a8d81,7.38028843674665,Standard_B1ls,3,24.0,virtualmachines,Single,[],P1Y,10.868835616438357
Standard_B2ms,westus,14.6816,2024-06-13T00:00:00Z,4.0,BS Series High Memory,Last7Days,045f188f-9054-5491-9b46-798578cb33de,9.125283409436834,Standard_B1ms,1,4.0,virtualmachines,Single,[],P3Y,5.556316590563165
Standard_B4ms,eastus,24.568,2024-06-13T00:00:00Z,8.0,BS Series High Memory,Last7Days,3ff0cf00-04ae-5a23-a76e-bcafb3e4a958,10.059210045662104,Standard_B1ms,1,8.0,virtualmachines,Single,[],P1Y,14.508789954337898
Standard_DS2_v2,centralus,21.753999999999998,2024-06-13T00:00:00Z,2.0,DSv2 Series,Last7Days,db8c3d5a-7921-58cd-8e9b-4a0f5400e840,10.715073059360728,Standard_DS1_v2,1,2.0,virtualmachines,Single,[],P1Y,11.03892694063927
Standard_B2s,eastus,18.249124053185007,2024-06-13T00:00:00Z,8.0,BS Series,Last7Days,09e544fd-ab20-5f6d-b26d-1b49aa8a8d81,11.258370628527473,Standard_B1ls,3,24.0,virtualmachines,Single,[],P3Y,6.990753424657535
Standard_D4s_v4,eastus,28.448000640000004,2024-06-13T00:00:00Z,2.0,Dsv4 Series,Last7Days,89bd7cb0-f7d0-52b8-a6b4-47a4309360f5,11.593968036529684,Standard_D2s_v4,1,2.0,virtualmachines,Single,[],P1Y,16.85403260347032
Standard_D11_v2,eastus2,22.201,2024-06-13T00:00:00Z,1.0,Dv2 Series High Memory,Last7Days,8789dbae-410e-56a9-9c3a-1a8bc7c7840d,11.780071537290716,Standard_D11_v2,1,1.0,virtualmachines,Single,[],P3Y,10.420928462709284
Standard_DS2_v2,centralus,21.753999999999998,2024-06-13T00:00:00Z,2.0,DSv2 Series,Last7Days,db8c3d5a-7921-58cd-8e9b-4a0f5400e840,14.530788432267881,Standard_DS1_v2,1,2.0,virtualmachines,Single,[],P3Y,7.2232115677321165
